"keys","fr"
,
"lbl_launcher_language","Langue du lanceur"
"lbl_launcher_theme","Thème du lanceur"
"cbtn_show_game_desc","Voir la description du jeu"
"cbtn_keep_launcher_open","Gardez le lanceur ouvert après le démarrage du jeu"
"cbtn_print_tips","Afficher les astuces du jour au démarrage"
"cbtn_updating_to_same_build","Permettre les «mises à jour» vers la même version installée"
"cbtn_shorten_release_names","Raccourcir les noms des versions expérimentales"
"cbtn_show_obsolete_mods","Lister les mods obsolètes installés"
"cbtn_install_archived_mods","Inclure les mods archivés en installant le modpack Kenan"
"cbtn_debug_mode","Mode débogage"
"lbl_num_releases_to_request","Nombre de versions à demander:"
"lbl_num_prs_to_request","Nombre de résultats à télécharger pour la liste des changements:"
"lbl_ui_scale_override","Échelle personnalisée de l’interface graphique:"
"cbtn_enable_scale","Activer"
,
"tooltip_show_game_desc","Affiche la description du jeu sélectionné sous la liste des jeux."
"tooltip_keep_launcher_open","S'il est désactivé, le lanceur se fermera après avoir cliqué sur Jouer ou Reprendre.\nNotez que si le jeu ne démarre pas pour une raison quelconque, le lanceur\nfermera toujours."
"tooltip_print_tips","Affiche une astuce aléatoire dans le panneau de statut au démarrage du lanceur."
"tooltip_updating_to_same_build","Permet de démarrer la mise à jour même si la version\nsélectionnée est la même que la version installée."
"tooltip_shorten_release_names","Raccourcir les noms en la date et nombre («2021-09-08-1927»\nau lieu de «Cataclysm-DDA experimental build 2021-09-08-1927»)."
"tooltip_show_obsolete_mods","Affiche les mods fournis avec le jeu mais qui sont\nmarqués comme «obsolètes». Normalement, ces mods\nne sont pas considérés comme installés."
"tooltip_install_archived_mods","En installant le modpack de Kenan, inclure également les mods *archivés*.\nCes mods ne sont plus maintenus par Kenan et peuvent être obsolètes."
"tooltip_debug_mode","Affiche le panneau de débogage avec quelques fonctions de test\net active les messages de débogage dans le panneau de statut\n(utile pour le dépannage)."
"tooltip_num_releases_to_request","Combien de dernières versions vont être demandées depuis GitHub\naprès le démarrage du lanceur, en choisissant un jeu ou en appuyant\nsur le bouton Actualiser."
"tooltip_num_prs_to_request","Combien de récents ajouts de code (Pull Requests) vont être demandées\ndepuis GitHub pour créer la liste des modifications. Les nombres\nélevés peuvent provoquer des ralentissements ou des échecs."
"tooltip_ui_scale_override","Utilisez ceci si l’échelle de l’interface graphique est trop grande\nou trop petite sur votre système. (L’échelle automatique dépend\ndes DPI d’affichage, ce qui ne marche pas sur tous les systèmes,\nou peut provoquer des résultats inattendus si la résolution est\ntrop basse)."
