"keys","ru"
,
"lbl_launcher_language","Язык лончера"
"lbl_launcher_theme","Тема лончера"
"cbtn_show_game_desc","Показывать описание игры"
"cbtn_keep_launcher_open","Держать лончер открытым после запуска игры"
"cbtn_print_tips","Выводить совет дня при запуске"
"cbtn_updating_to_same_build","Разрешить «обновляться» на уже установленную версию"
"cbtn_shorten_release_names","Сокращать названия экспериментальных релизов"
"cbtn_show_obsolete_mods","Показывать устаревшие моды в установленных"
"cbtn_install_archived_mods","Включить архивные моды при установке модпака Кенана"
"cbtn_debug_mode","Режим отладки"
"lbl_num_releases_to_request","Запрашиваемое количество релизов:"
"lbl_num_prs_to_request","Загружаемое количество записей для списка изменений:"
"lbl_ui_scale_override","Произвольный масштаб интерфейса:"
"cbtn_enable_scale","Включить"
,
"tooltip_show_game_desc","Показывать описание для выбранной игры под списком."
"tooltip_keep_launcher_open","Если выключено, то после нажатия Играть или Продолжить лончер будет закрыт.\nЭто произойдет даже если игра по какой-то причине не смогла запуститься."
"tooltip_print_tips","Печатать случайный совет в панели статуса при запуске лончера."
"tooltip_updating_to_same_build","Разрешить запускать процесс обновления игры\nдаже когда выбранна та же версия, что уже установлена."
"tooltip_shorten_release_names","Сокращать названия релизов до даты и номера\n(например, просто ""2021-09-08-1927"" вместо\n""Cataclysm-DDA experimental build 2021-09-08-1927"")."
"tooltip_show_obsolete_mods","Показывать моды, которые встроены в игру,\nно помечены как “устаревшие”. В противном случае\nлончер не считает такие моды установленными."
"tooltip_install_archived_mods","При установке модпака Кенана, также распаковывать\n*архивные* моды. Это моды, которые Кенан перестал\nактивно поддерживать, из-за чего они могли устареть."
"tooltip_debug_mode","Показать вкладку Debug с тестовыми функциями\nи включить отладочные сообщения в панели статуса\n(полезно при поиске проблем)."
"tooltip_num_releases_to_request","Сколько свежих релизов нужно запрашивать с GitHub\nпосле запуска лончера, выбора игры или нажатия Обновить."
"tooltip_num_prs_to_request","Сколько последних пул-реквестов (изменений в коде игры)\nнужно запрашивать с GitHub для формирования списка изменений.\nВысокие значения могут привести к медленным ответам и ошибкам."
"tooltip_ui_scale_override","Воспользуйтесь этой настройкой, если автоматически\nопределенный масштаб интерфейса выглядит слишком мелко\nили крупно на вашей системе. (Автоматическое определение\nмасштаба полагается на сообщаемый системой DPI экрана,\nчто может не сработать на некоторых системах, или дать\nнеадекватный результат, когда разрешение слишком низкое)."
