"keys","ru"
,
"window_title","Catapult — лончер для Cataclysm: DDA и BN"
"str_welcome","Добро пожаловать в Catapult!"
"str_tip_of_the_day","\n\n[u]Совет дня:[/u]\n"
"msg_unpacking_unzip","Распаковываем unzip.exe..."
"msg_theme_load_error","Не удалось загрузить тему %s."
"debug_test","Это отладочный текст для проверки извлечения переводов."
,
"tag_warning","внимание"
"tag_error","ошибка"
"tag_debug","отладка"
,
"lbl_game","Игра:"
"desc_dda","[b]Cataclysm: Dark Days Ahead[/b] — это пошаговый симулятор выживания в пост-апокалипсисе. Находите или крафтите снаряжение, стройте базы, выращивайте еду, тюнингуйте транспорт, ставьте кибер-импланты, мутируйте, отбивайтесь от [color=#009900]зомби[/color] и кучи других монстров — и всё это в бесконечном, процедурно генерируемом мире!"
"desc_bn","[b]Cataclysm: Bright Nights[/b] — это форк, который возвращает игру к истокам и снова делает её sci-fi рогаликом, откатывая многие спорные нововведения, сделанные командой DDA (кармашки, умения, заморозку и [color=#3b93f7][url=https://docs.cataclysmbn.org/en/game/changelog/]многое другое[/url][/color]). Особое внимание уделяется боёвке, балансу и темпу игры, и конечно же [color=#ff3300]!!веселью!![/color]"
,
"tab_game","Игра"
"tab_mods","Моды"
"tab_soundpacks","Звуки"
"tab_fonts","Шрифты"
"tab_backups","Бэкапы"
"tab_settings","Настройки"
