"keys","zh"
,
"lbl_channel","版本："
"rbtn_stable","稳定版"
"rbtn_experimental","测试版"
"lbl_changelog","[right][color=#3b93f7][url]查看测试版更新日志[/url][/color][/right]"
"lbl_builds","可用构建："
"btn_refresh","刷新"
"btn_install","安装"
"btn_update","更新"
"btn_play","开始"
"lbl_currently_installed","已安装："
"lbl_none","无"
,
"tooltip_game","切换要管理或游玩的游戏。"
"tooltip_changelog","点击从Github加载最近的更新日志。"
"tooltip_stable","稳定版（仅DDA）。"
"tooltip_experimental","测试版。"
"tooltip_builds","选择游戏要安装或更新到具体哪个构建。"
"tooltip_refresh","从Github重新检索可用 游戏列表（仅测试版）。"
"tooltip_install","安装所选发布（DDA和BN 分别管理，可同时存在）。"
"tooltip_game_dir","打开游戏目录。"
"tooltip_play","启动游戏。"
